Time (min),Blood Glucose (mg/dl),Sensor Glucose Readings(mg/dl)
1,115.5261786,111.3218731
2,115.0832063,110.6814634
3,114.6416432,110.0177298
4,114.2015705,109.3308944
5,113.7630643,108.62117
6,113.3261953,107.8887601
7,112.8910297,107.1338594
8,112.4576293,106.356654
9,112.0260514,105.659994
10,111.5963495,105.0440492
11,111.1685731,104.5089816
12,110.7427683,104.0549458
13,110.3189776,103.6820891
14,109.8972404,103.3905519
15,109.477593,103.1804677
16,109.0600688,103.0519639
17,108.6446986,103.0051612
18,108.2315106,103.0401746
19,107.8212444,103.1571234
20,107.4195734,103.3563208
21,107.0255141,103.638324
22,106.6293132,104.0031963
23,106.2271475,104.4505332
24,105.8207679,104.8846648
25,105.4212199,105.3055598
26,105.0593042,105.7144946
27,104.7991005,106.1157199
28,104.7409899,106.5186562
29,105.0015681,106.939387
30,105.684463,107.400289
31,106.8658728,107.9281801
32,108.5966672,108.552238
33,110.9102705,109.3024405
34,113.8266647,110.2085624
35,117.3454957,111.2990802
36,121.4510197,112.6000299
37,126.1162592,114.1343232
38,131.3051441,115.9212901
39,136.9742361,117.9372126
40,143.0741217,120.1934713
41,149.5505517,122.6972956
42,156.3453931,125.4517513
43,163.3974637,128.455787
44,170.6433155,131.7043301
45,178.0180337,135.1884283
46,185.4561088,138.8954362
47,192.8924191,142.80925
48,200.2621708,146.9105747
49,207.5021477,151.1771442
50,214.5554472,155.5842256
51,221.3701982,160.1051404
52,227.900426,164.7117498
53,234.1067227,169.3749605
54,239.9566139,174.1093249
55,245.4246215,178.8853424
56,250.4920564,183.6740027
57,255.1465971,188.447186
58,259.3817181,193.1780038
59,263.1960297,197.8410763
60,266.5925829,202.4127472
61,269.5781793,206.8712393
62,272.1627152,211.1967546
63,274.3585774,215.3715273
64,276.1801009,219.3798356
65,277.6430914,223.2079793
66,278.7644118,226.8442294
67,279.5616301,230.2787563
68,280.0527212,233.5035415
69,280.2558202,236.5419709
70,280.1890185,239.3893383
71,279.870198,242.0424258
72,279.316899,244.499388
73,278.5462151,246.7596357
74,277.5747126,248.8237221
75,276.4183694,250.6932308
76,275.0925315,252.370668
77,273.6118822,253.8593601
78,271.9904241,255.1633553
79,270.2414698,256.2873314
80,268.377641,257.2365095
81,266.4108731,258.016573
82,264.3524258,258.6335927
83,262.2128974,259.0939573
84,260.0022417,259.3827184
85,257.7297883,259.5067156
86,255.4042639,259.4729315
87,253.0338154,259.2884438
88,250.6260338,258.9603817
89,248.1879781,258.4958868
90,245.7262003,257.9020786
91,243.2467698,257.186023
92,240.7552975,256.3547055
93,238.2569602,255.4150066
94,235.7565235,254.3736818
95,233.2583651,253.2373429
96,230.7664971,252.0124431
97,228.2845869,250.7052639
98,225.8159785,249.3219049
99,223.3637119,247.8481566
100,220.9305424,246.2897303
101,218.5189592,244.652134
102,216.1312018,242.9406701
103,213.7692778,241.1604319
104,211.4349777,239.3163035
105,209.1298902,237.4129593
106,206.8554167,235.4548651
107,204.612784,233.4462801
108,202.4030577,231.3912591
109,200.2271537,229.2936561
110,198.0858496,227.1571278
111,195.9797952,224.9851379
112,193.9095164,222.7809617
113,191.8747329,220.5476721
114,189.8755444,218.3176833
115,187.9122493,216.0936823
116,185.9850539,213.8781961
117,184.0940811,211.6735968
118,182.2393787,209.4821066
119,180.4209268,207.3058029
120,178.638645,205.1466234
121,176.8923976,203.0063718
122,175.1820001,200.8867231
123,173.5072238,198.7892286
124,171.8678009,196.715322
125,170.2634283,194.6663239
126,168.6937724,192.6434477
127,167.1584718,190.6478042
128,165.6571417,188.6804072
129,164.1893763,186.7603361
130,162.754752,184.8884246
131,161.3528301,183.0654233
132,159.9831591,181.2920046
133,158.6452773,179.5687668
134,157.3387146,177.8962383
135,156.0629944,176.2748822
136,154.8176358,174.7050993
137,153.6021548,173.187233
138,152.4160663,171.7215721
139,151.258885,170.3083547
140,150.130127,168.9477717
141,149.0293111,167.6399696
142,147.9559597,166.385054
143,146.9096,165.1830925
144,145.8897648,164.0385539
145,144.8959936,162.9514378
146,143.9278331,161.9217141
147,142.9848384,160.9493252
148,142.0665734,160.0341882
149,141.1726115,159.1761977
150,140.3025365,158.3752272
151,139.4559428,157.6311318
152,138.6324364,156.9437499
153,137.8316352,156.312905
154,137.0531694,155.7384075
155,136.2966825,155.2200563
156,135.5618312,154.757641
157,134.8482866,154.3509424
158,134.1557338,153.9997349
159,133.4838735,153.5967309
160,132.8324214,153.1416953
161,132.2011096,152.6343904
162,131.5896868,152.0745772
163,130.9979188,151.4620163
164,130.4255892,150.7964692
165,129.8725001,150.0776997
166,129.3384725,149.3054743
167,128.8233476,148.4795642
168,128.326987,147.5997456
169,127.8492738,146.6658011
170,127.3901135,145.6775205
171,126.9494351,144.6347021
172,126.5271919,143.5371536
173,126.1233632,142.3846928
174,125.7379551,141.320823
175,125.3710021,140.345386
176,125.022569,139.4582375
177,124.6927522,138.6592478
178,124.381682,137.9483032
179,124.0895244,137.3253071
180,123.8164837,136.7901815
181,123.5628051,136.3428681
182,123.3287774,135.98333
183,123.1147362,135.7115532
184,122.9210677,135.5275482
185,122.7482121,135.431352
186,122.5966683,135.4230299
187,122.4669984,135.5026776
188,122.3598329,135.6704238
189,122.2758766,135.8339827
190,122.2159143,135.9935562
191,122.1808183,136.1493876
192,122.1715552,136.3017641
193,122.1891939,136.451021
194,122.2349139,136.5975453
195,122.3100142,136.7417799
196,122.4159223,136.8842279
197,122.5542024,137.0254575
198,122.7265644,137.1661071
199,122.9348708,137.3068904
200,123.1811419,137.4486013
201,123.4675578,137.5921197
202,123.7964552,137.7384159
203,124.170318,137.8885546
204,124.5917573,138.002507
205,125.0634788,138.0815335
206,125.5882327,138.1269912
207,126.1687434,138.140328
208,126.807613,138.1230722
209,127.5071972,138.0768149
210,128.2694534,138.0031851
211,129.0957629,137.9038153
212,129.9867375,137.7802969
213,130.9420256,137.6341266
214,131.960137,137.4666425
215,133.0383123,137.2789563
216,134.1724585,137.0718816
217,135.3571663,136.8458663
218,136.585816,136.6009337
219,137.8507616,136.4422631
220,139.1435764,136.3689076
221,140.455333,136.3794121
222,141.7768895,136.4718229
223,143.099159,136.6437154
224,144.4133453,136.8922369
225,145.7111325,137.21416
226,146.9848279,137.6059439
227,148.2274576,138.0637988
228,149.4328221,138.5837519
229,150.5955164,139.1617106
230,151.7109237,139.7935224
231,152.7751882,140.4750301
232,153.7851741,141.20212
233,154.738415,141.9707652
234,155.6330574,142.7547972
235,156.467803,143.550465
236,157.2418503,144.3541953
237,157.954838,145.1626115
238,158.6067912,145.9725475
239,159.198071,146.781058
240,159.7293278,147.5854242
241,160.2014588,148.3831565
242,160.6155692,149.1719945
243,160.9729375,149.9499043
244,161.2749841,150.7150741
245,161.5232442,151.4659077
246,161.7193426,152.2010176
247,161.8649726,152.9192158
248,161.9618768,153.6195052
249,162.011831,154.2852069
250,162.0166297,154.9156751
251,161.9780736,155.5104243
252,161.8979593,156.0691185
253,161.7780703,156.5915615
254,161.6201692,157.0776859
255,161.4259913,157.5275435
256,161.1972407,157.9412955
257,160.9190865,158.3188337
258,160.5702793,158.6585717
259,160.1520857,158.9584136
260,159.6736515,159.2168256
261,159.144459,159.4329948
262,158.5743447,159.6067888
263,157.9750233,159.738781
264,157.3617552,159.7729349
265,156.7536582,159.7117054
266,156.1713432,159.5587087
267,155.633082,159.3186172
268,155.1523489,158.9968423
269,154.7377351,158.5991575
270,154.3941743,158.1313917
271,154.1243137,157.5992329
272,153.9288334,157.0081106
273,153.8053194,156.363038
274,153.7497975,155.668483
275,153.757264,154.9283247
276,153.8218939,154.1458314
277,153.9372058,153.323653
278,154.0961937,152.4638228
279,154.2914368,151.6592395
280,154.5151997,150.9107383
281,154.759533,150.2185854
282,155.0163837,149.582504
283,155.2777211,149.0017077
284,155.5356803,148.4749399
285,155.7827169,148.0005205
286,156.011763,147.5764
287,156.2163726,147.2002198
288,156.3908404,146.8693773
289,156.530286,146.5810936
290,156.6306977,146.3324806
291,156.6889357,146.1206056
292,156.7027013,145.9425505
293,156.6704788,145.7954639
294,156.5914587,145.6139588
295,156.4654514,145.395443
296,156.2927977,145.1374999
297,156.0742808,144.8379085
298,155.8110441,144.4946574
299,155.5045166,144.1059518
300,155.1563467,143.6702158
301,154.7683452,143.1860906
302,154.342436,142.6524289
303,153.8806157,142.0682878
304,153.3849192,141.432918
305,152.8573923,140.7457538
306,152.3000695,140.0063998
307,151.714956,139.2146195
308,151.1040141,138.3703218
309,150.4691523,137.573783
310,149.8122178,136.8251654
311,149.1349905,136.1247392
312,148.4391792,135.4728717
313,147.7264191,134.8700151
314,146.9982707,134.3166973
315,146.2562198,133.813511
316,145.5016771,133.3611051
317,144.7359802,132.9601759
318,143.9603947,132.6114596
319,143.1761162,132.3157244
320,142.3842722,132.0737646
321,141.5859246,131.8863939
322,140.7820724,131.7544404
323,139.9736536,131.678741
324,139.1615484,131.5825445
325,138.3465814,131.4666932
326,137.5295242,131.3320267
327,136.7110982,131.1793783
328,135.8919766,131.0095727
329,135.0727871,130.8234227
330,134.2541146,130.6217278
331,133.4365025,130.405272
332,132.6204559,130.1748222
333,131.8064431,129.931127
334,130.994898,129.6749155
335,130.1862214,129.4068961
336,129.3807838,129.1277562
337,128.5789263,128.8381615
338,127.7809628,128.5387554
339,126.9871813,128.2598301
340,126.1978456,128.0019839
341,125.4131969,127.7657924
342,124.6334548,127.5518087
343,123.8588187,127.3605632
344,123.0894695,127.192564
345,122.3255699,127.0482973
346,121.5672664,126.9282274
347,120.8146899,126.8327972
348,120.0679566,126.7624288
349,119.3271694,126.7175238
350,118.592418,126.6984636
351,117.8637808,126.7056103
352,117.1413247,126.7393069
353,116.4251065,126.7998779
354,115.7151732,126.8011853
355,115.0115631,126.7435182
356,114.314306,126.6271495
357,113.6234239,126.4523355
358,112.9389318,126.2193171
359,112.2608381,125.9283201
360,111.5891449,125.579556
361,110.9238487,125.1732222
362,110.2649408,124.7095028
363,109.6124078,124.188569
364,108.9662255,123.6105801
365,108.4057631,122.9775607
366,107.9405552,122.2963635
367,107.4803642,121.5691473
368,106.9985579,120.7940672
369,106.4971028,120.017459
370,105.9865854,119.2376139
371,105.4912501,118.4540274
372,105.061381,117.6686043
373,104.7846098,116.8876247
374,104.7808063,116.1238664
375,105.1751859,115.3974838
376,106.070228,114.7348755
377,107.5358533,114.1663488
378,109.6146942,113.7238543
379,112.3314241,113.4393988
380,115.6968722,113.3440721
381,119.7002326,113.4669323
382,124.3158512,113.8338841
383,129.5076622,114.4670956
384,135.2311598,115.3694359
385,141.4349926,116.5546302
386,148.0622657,118.0319473
387,155.0516242,119.8061657
388,162.338192,121.8776072
389,169.8544355,124.2422266
390,177.5310256,126.8917529
391,185.2977601,129.8138783
392,193.0845936,132.9924989
393,200.8214564,136.4079863
394,208.4399162,140.0374156
395,215.8778489,143.8550976
396,223.0814285,147.8331595
397,230.0155317,151.9427246
398,236.6370764,156.1542827
399,242.907405,160.5434402
400,248.7954608,165.0795868
401,254.277614,169.7323309
402,259.3372528,174.4719593
403,263.9642022,179.2698349
404,268.1540367,184.0987251
405,271.9073432,188.9330624
406,275.2289816,193.7491399
407,278.1273737,198.5252448
408,280.6138439,203.2417394
409,282.7020225,207.8810952
410,284.4073178,212.4278879
